GENUS,SPECIES,B0,B1
Picea,sitchensis,-2.0773,2.3323
Catalpa,speciosa,-2.48,2.4835
Acer,spicatum,-1.9123,2.3651
Abies,sp.,-2.5384,2.4814
Acacia,sp.,-0.7152,1.7029
Acer,sp.,-1.9123,2.3651
Aesculus,sp.,-2.48,2.4835
Alnus,sp.,-2.2094,2.3867
Amelanchier,sp.,-2.48,2.4835
Arbutus,sp.,-2.48,2.4835
Betula,sp.,-1.9123,2.3651
Carya,sp.,-2.0127,2.4342
Castanea,sp.,-2.48,2.4835
Casuarina,sp.,-2.48,2.4835
Catalpa,sp.,-2.48,2.4835
Celtis,sp.,-2.48,2.4835
Chamaecyparis,sp.,-2.0336,2.2592
Citrus,sp.,-2.48,2.4835
Cornus,sp.,-2.48,2.4835
Crataegus,sp.,-2.48,2.4835
Cupressus,sp.,-2.0336,2.2592
Diospyros,sp.,-2.48,2.4835
Eucalyptus,sp.,-2.48,2.4835
Fraxinus,sp.,-2.48,2.4835
Gleditsia,sp.,-2.48,2.4835
Halesia,sp.,-2.48,2.4835
Juglans,sp.,-2.48,2.4835
Juniperus,sp.,-2.0336,2.2592
Larix,sp.,-2.0336,2.2592
Magnolia,sp.,-2.48,2.4835
Malus,sp.,-2.48,2.4835
Morus,sp.,-2.48,2.4835
Nyssa,sp.,-2.48,2.4835
Persea,sp.,-2.48,2.4835
Picea,sp.,-2.0773,2.3323
Pinus,sp.,-2.5356,2.4349
Platanus,sp.,-2.48,2.4835
Populus,sp.,-2.2094,2.3867
Prosopis,sp.,-0.7152,1.7029
Prunus,sp.,-2.48,2.4835
Pseudotsuga,sp.,-2.2304,2.4435
Quercus,sp.,-2.0127,2.4342
Roystonea,sp.,-2.48,2.4835
Salix,sp.,-2.2094,2.3867
Sorbus,sp.,-2.48,2.4835
Tamarix,sp.,-2.48,2.4835
Taxodium,sp.,-2.0336,2.2592
Taxus,sp.,-2.5384,2.4814
Thuja,sp.,-2.0336,2.2592
Tilia,sp.,-2.48,2.4835
Torreya,sp.,-2.5384,2.4814
Tsuga,sp.,-2.5384,2.4814
Ulmus,sp.,-2.48,2.4835
Quercus,stellata,-2.0127,2.4342
Pinus,strobiformis,-2.5356,2.4349
Pinus,strobus,-2.5356,2.4349
Liquidambar,styraciflua,-2.48,2.4835
Crataegus,succulenta,-2.48,2.4835
Aesculus,sylvatica,-2.48,2.4835
Nyssa,sylvatica,-2.48,2.4835
Pinus,sylvestris,-2.5356,2.4349
Pinus,taeda,-2.5356,2.4349
Torreya,taxifolia,-2.5384,2.4814
Olneya,tesota,-0.7152,1.7029
Carya,texana,-2.0127,2.4342
Diospyros,texana,-2.48,2.4835
Quercus,texana,-2.0127,2.4342
Fraxinus,texensis,-2.48,2.4835
Ulmus,thomasii,-2.48,2.4835
Chamaecyparis,thyoides,-2.0336,2.2592
Paulownia,tomentosa,-2.48,2.4835
Pinus,torreyana,-2.5356,2.4349
Metopium,toxiferum,-2.48,2.4835
Populus,tremuloides,-2.2094,2.3867
Gleditsia,triacanthos,-2.48,2.4835
Asimina,triloba,-2.48,2.4835
Magnolia,tripetala,-2.48,2.4835
Liriodendron,tulipifera,-2.48,2.4835
Betula,uber,-1.9123,2.3651
Crataegus,uniflora,-2.48,2.4835
Tree,unknown,-2.48,2.4835
Fraxinus,velutina,-2.48,2.4835
Prosopis,velutina,-0.7152,1.7029
Quercus,velutina,-2.0127,2.4342
Diospyros,virginiana,-2.48,2.4835
Juniperus,virginiana,-2.0336,2.2592
Juniperus,virginiana,-2.0336,2.2592
Magnolia,virginiana,-2.48,2.4835
Ostrya,virginiana,-2.48,2.4835
Pinus,virginiana,-2.5356,2.4349
Prunus,virginiana,-2.48,2.4835
Quercus,virginiana,-2.0127,2.4342
Pinus,washoensis,-2.5356,2.4349
Quercus,wislizeni,-2.0127,2.4342
Acoelorraphe,wrightii,-2.48,2.4835
Platanus,wrightii,-2.48,2.4835
Betula,x utahensis,-1.9123,2.3651
Arbutus,xalapensis,-0.7152,1.7029
